X	Y	Z
455	506	16456
456	490	16442
444	508	16454
440	513	16463
443	501	16490
449	488	16496
453	497	16511
458	514	16514
463	504	16480
453	508	16478
442	515	16480
436	504	16482
447	497	16494
451	496	16484
436	496	16470
436	497	16465
434	484	16454
438	487	16443
431	508	16459
422	503	16488
437	509	16509
460	517	16501
446	511	16481
435	508	16463
451	498	16437
442	493	16446
446	490	16459
439	499	16477
429	506	16513
443	490	16504
436	496	16474
418	512	16478
428	508	16457
457	494	16439
461	493	16443
442	501	16458
438	504	16496
449	492	16501
452	491	16480
452	504	16474
460	503	16477
450	503	16473
436	506	16475
429	501	16473
420	502	16481
432	497	16484
446	496	16472
448	507	16462
448	509	16484
459	512	16490
442	509	16477
416	497	16492
448	502	16492
468	512	16477
441	511	16459
436	495	16447
442	495	16459
432	508	16469
432	499	16486
429	498	16499
424	497	16497
447	501	16492
454	509	16484
441	503	16497
439	493	16490
445	486	16490
448	492	16503
437	498	16487
440	488	16474
441	496	16485
431	513	16496
445	508	16488
431	502	16491
419	499	16478
429	500	16458
430	500	16485
438	500	16485
444	506	16463
457	504	16462
458	504	16454
444	506	16464
446	503	16499
462	499	16509
457	516	16498
444	522	16489
443	510	16473
433	503	16485
437	494	16493
429	494	16464
438	499	16467
445	495	16484
436	491	16485
445	501	16490
442	501	16484
438	499	16479
455	499	16481
467	494	16477
465	495	16465
451	490	16470
431	498	16480
435	510	16479
437	500	16482
453	507	16488
464	519	16486
442	523	16468
436	519	16478
449	512	16476
446	513	16466
440	517	16471
440	514	16453
450	502	16471
460	494	16498
441	497	16509
434	501	16516
444	505	16498
435	495	16477
424	481	16472
424	488	16469
442	503	16459
451	521	16470
440	514	16482
441	506	16503
443	519	16510
438	514	16496
433	501	16479
438	494	16459
446	491	16473
444	501	16478
445	489	16485
447	490	16501
446	517	16482
442	511	16461
435	498	16459
428	488	16476
427	491	16479
434	493	16458
434	496	16468
434	520	16502
427	524	16491
432	509	16466
441	494	16472
445	493	16491
445	494	16477
428	477	16482
426	487	16479
445	506	16453
449	501	16457
433	501	16459
431	500	16482
445	508	16494
443	509	16493
435	488	16490
441	487	16483
435	504	16475
432	507	16468
435	500	16482
429	499	16491
440	502	16495
446	502	16487
437	505	16473
428	504	16475
432	497	16466
447	499	16464
442	500	16470
438	511	16478
448	518	16496
445	506	16488
445	497	16480
456	496	16483
439	503	16476
426	504	16479
434	493	16483
430	483	16496
428	496	16499
444	502	16486
433	496	16481
413	493	16477
427	497	16470
442	504	16469
438	505	16474
436	500	16461
434	478	16463
430	488	16471
428	506	16469
435	506	16483
442	498	16486
439	505	16475
436	515	16471
436	502	16473
439	493	16475
450	496	16469
447	494	16470
429	482	16478
430	493	16493
438	499	16494
441	486	16471
436	484	16472
441	488	16492
455	488	16488
438	498	16486
435	498	16504
447	499	16515
